Type,Description,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg
Breakfast Cereals,"Cereals, oats, instant, fortified, with cinnamon and spice, dry",9.53,4.84,76.08,25.33,8,440
Fruits and Fruit Juices,"Plantains, cooked",0.79,0.18,31.15,14,2.3,45
Vegetables and Vegetable Products,"Peppers, serrano, raw",1.74,0.44,6.7,3.83,3.7,47
Poultry Products,"Chicken, broilers or fryers, drumstick, meat and skin, cooked, stewed",25.32,10.64,0,0,0,27
Fruits and Fruit Juices,"Apricots, dried, sulfured, stewed, without added sugar",1.2,0.18,22.15,19.57,2.6,64
Poultry Products,"Chicken, broilers or fryers, wing, meat and skin, cooked, roasted",23.79,16.87,0,0,0,12
Poultry Products,"Chicken, broilers or fryers, back, meat only, cooked, rotisserie, original seasoning",25.34,11.54,0,0,0,17
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, DORA THE EXPLORER",5.6,5.7,82.8,21.2,10.2,522
Fruits and Fruit Juices,"Soursop, raw",1,0.3,16.84,13.54,3.3,0
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, Whole Grain TOTAL",8.4,2.1,74.7,16.4,9.1,498
Poultry Products,"Chicken, capons, meat and skin and giblets and neck, cooked, roasted",28.35,11.67,0.04,0,0,220
Breakfast Cereals,"Cereals ready-to-eat, KELLOGG, KELLOGG'S MARSHMALLOW FROOT LOOPS",4.6,2.8,89.3,49.9,7.4,511
Breakfast Cereals,"Cereals ready-to-eat, QUAKER, Toasted Multigrain Crisps",12.38,5.11,74.9,16.34,10.2,359
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Banana Nut",5.5,4,84.69,33.09,6.1,506
Breakfast Cereals,"Cereals ready-to-eat, KELLOGG, KELLOGG'S HONEY SMACKS",5.7,2.2,88.5,56.2,5,556
Fruits and Fruit Juices,"Apricots, canned, heavy syrup, drained",0.64,0.11,21.31,18.65,2.7,146
Breakfast Cereals,"Cereals ready-to-eat, KELLOGG, KELLOGG'S Low Fat Granola with Raisins",9,5.2,80.1,27.9,7.4,375
Poultry Products,"Chicken, broilers or fryers, light meat, meat and skin, raw",20.27,11.07,0,0,0,30
Poultry Products,"Chicken, broilers or fryers, thigh, meat only, cooked, rotisserie, original seasoning",24.06,11.09,0,0,0,13
Fruits and Fruit Juices,"Cherries, sweet, raw",1.06,0.2,16.01,12.82,2.1,3
Poultry Products,"Chicken, broilers or fryers, drumstick, meat and skin, cooked, rotisserie, original seasoning",26.86,11.98,0.02,0.02,0,18
Vegetables and Vegetable Products,"Potatoes, white, flesh and skin, raw",1.68,0.1,15.71,1.15,2.4,0
Breakfast Cereals,"Cereals, QUAKER, Instant Oatmeal, maple and brown sugar, dry",9.2,4.63,76.91,30.02,7.2,520
Vegetables and Vegetable Products,"Onions, frozen, whole, cooked, boiled, drained, without salt",0.71,0.05,6.7,2.9,1.4,0
Fruits and Fruit Juices,"Bananas, raw",1.09,0.33,22.84,12.23,2.6,3
Fruits and Fruit Juices,"Juice Smoothie, NAKED JUICE, BLUE MACHINE",0.42,0,16.67,12.08,2.9,0
Vegetables and Vegetable Products,"Squash, winter, spaghetti, raw",0.64,0.57,6.91,2.76,1.5,6
Poultry Products,"Chicken, stewing, meat and skin, and giblets and neck, cooked, stewed",24.88,11.91,0,0,0,182
Breakfast Cereals,"Cereals ready-to-eat, KELLOGG, KELLOGG'S APPLE JACKS",5.1,3.4,88.2,43.7,9.3,527
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, CHOCOLATE LUCKY CHARMS",5.59,4.4,84.4,36.79,5.3,505
Poultry Products,"Duck, young duckling, domesticated, White Pekin, leg, meat and skin, bone in, cooked, roasted",26.75,11.4,0,0,0,0
Fruits and Fruit Juices,"Blueberries, canned, light syrup, drained",1.04,0.4,22.66,17.45,2.6,2
Poultry Products,"Chicken, broilers or fryers, back, meat and skin, cooked, rotisserie, original seasoning",23.23,18.59,0.03,0.03,0,28
